Majority.protein.IDs	Gene.names	razorUniqueCount	razorUniqueCount_MIAPACA...AG205.1	razorUniqueCount_MIAPACA...AG205.2	razorUniqueCount_MIAPACA...AG205.3	razorUniqueCount_MIAPACA...AG205.4	razorUniqueCount_MIAPACA...AG205.5	razorUniqueCount_MIAPACA.1	razorUniqueCount_MIAPACA.2	razorUniqueCount_MIAPACA.3	razorUniqueCount_MIAPACA.4	razorUniqueCount_MIAPACA.5	razorUniqueCount_wt...AG205.1	razorUniqueCount_wt...AG205.2	razorUniqueCount_wt...AG205.3	razorUniqueCount_wt...AG205.4	razorUniqueCount_wt...AG205.5	razorUniqueCount_wt.1	razorUniqueCount_wt.2	razorUniqueCount_wt.3	razorUniqueCount_wt.4	razorUniqueCount_wt.5	RawIntensity_MIAPACA...AG205.1	RawIntensity_MIAPACA...AG205.2	RawIntensity_MIAPACA...AG205.3	RawIntensity_MIAPACA...AG205.4	RawIntensity_MIAPACA...AG205.5	RawIntensity_MIAPACA.1	RawIntensity_MIAPACA.2	RawIntensity_MIAPACA.3	RawIntensity_MIAPACA.4	RawIntensity_MIAPACA.5	RawIntensity_wt...AG205.1	RawIntensity_wt...AG205.2	RawIntensity_wt...AG205.3	RawIntensity_wt...AG205.4	RawIntensity_wt...AG205.5	RawIntensity_wt.1	RawIntensity_wt.2	RawIntensity_wt.3	RawIntensity_wt.4	RawIntensity_wt.5	iBAQ_MIAPACA...AG205.1	iBAQ_MIAPACA...AG205.2	iBAQ_MIAPACA...AG205.3	iBAQ_MIAPACA...AG205.4	iBAQ_MIAPACA...AG205.5	iBAQ_MIAPACA.1	iBAQ_MIAPACA.2	iBAQ_MIAPACA.3	iBAQ_MIAPACA.4	iBAQ_MIAPACA.5	iBAQ_wt...AG205.1	iBAQ_wt...AG205.2	iBAQ_wt...AG205.3	iBAQ_wt...AG205.4	iBAQ_wt...AG205.5	iBAQ_wt.1	iBAQ_wt.2	iBAQ_wt.3	iBAQ_wt.4	iBAQ_wt.5	LFQIntensity_MIAPACA...AG205.1	LFQIntensity_MIAPACA...AG205.2	LFQIntensity_MIAPACA...AG205.3	LFQIntensity_MIAPACA...AG205.4	LFQIntensity_MIAPACA...AG205.5	LFQIntensity_MIAPACA.1	LFQIntensity_MIAPACA.2	LFQIntensity_MIAPACA.3	LFQIntensity_MIAPACA.4	LFQIntensity_MIAPACA.5	LFQIntensity_wt...AG205.1	LFQIntensity_wt...AG205.2	LFQIntensity_wt...AG205.3	LFQIntensity_wt...AG205.4	LFQIntensity_wt...AG205.5	LFQIntensity_wt.1	LFQIntensity_wt.2	LFQIntensity_wt.3	LFQIntensity_wt.4	LFQIntensity_wt.5	spectraCount_MIAPACA...AG205.1	spectraCount_MIAPACA...AG205.2	spectraCount_MIAPACA...AG205.3	spectraCount_MIAPACA...AG205.4	spectraCount_MIAPACA...AG205.5	spectraCount_MIAPACA.1	spectraCount_MIAPACA.2	spectraCount_MIAPACA.3	spectraCount_MIAPACA.4	spectraCount_MIAPACA.5	spectraCount_wt...AG205.1	spectraCount_wt...AG205.2	spectraCount_wt...AG205.3	spectraCount_wt...AG205.4	spectraCount_wt...AG205.5	spectraCount_wt.1	spectraCount_wt.2	spectraCount_wt.3	spectraCount_wt.4	spectraCount_wt.5	spectraCount	Potential.contaminant
21	P08727;CON__P08727	KRT19	15	9	9	9	9	11	12	13	8	9	12	9	2	5	3	4	11	9	10	9	10	233460000	162840000	218460000	272710000	3.43e+08	666810000	541490000	453960000	531060000	621100000	107490000	53251000	74626000	56667000	92619000	1486400000	1351400000	1402400000	1198200000	1281700000	7530800	5252900	7047100	8797200	11065000	21510000	17468000	14644000	17131000	20035000	3467600	1717800	2407300	1828000	2987700	47950000	43594000	45239000	38653000	41345000	43252000	45779000	37420000	65113000	43909000	171010000	159640000	131010000	181460000	128780000	17767000	13324000	15550000	12057000	18746000	229710000	225320000	210210000	248580000	245990000	4	2	1	4	5	11	12	9	12	9	1	1	1	1	1	17	18	21	9	17	156	+
22	CON__P08730-1		1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	23947000	18597000	0	0	0	0	11530000	0	0	0	21404000	0	0	62030000	0	0	0	0	0	0	886940	688770	0	0	0	0	427020	0	0	0	792730	0	0	2297400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	+
23	CON__P12763		2	0	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	3318500	0	7708200	0	6088200	3006700	6692700	4604700	0	0	0	4409700	3870200	0	0	0	0	0	0	0	237040	0	550580	0	434870	214770	478050	328910	0	0	0	314980	276440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	0	5	+
24	P13645;CON__P13645	KRT10	3	0	2	2	1	2	2	2	2	2	2	2	0	1	3	0	2	0	1	1	1	0	10689000	92025000	30442000	18209000	22713000	44849000	34297000	15007000	52781000	49928000	0	10893000	22627000	0	6280800	0	30012000	7340600	13833000	0	411110	3539400	1170800	700330	873590	1725000	1319100	577210	2030000	1920300	0	418970	870270	0	241570	0	1154300	282330	532050	0	6049700	0	0	6300400	0	0	0	0	36600000	0	0	0	4584700	0	4677400	0	0	0	0	0	0	1	2	0	2	1	1	2	4	1	0	1	1	0	0	0	1	0	0	17	+
25	CON__P34955		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	9781600	6735900	8917200	7297900	13219000	4895100	5132600	6752600	4280800	4783300	8604900	8188200	8232800	10552000	8040100	7152000	2820200	3446100	0	5042100	465790	320760	424630	347520	629460	233100	244410	321550	203850	227780	409760	389910	392040	502470	382860	340570	134300	164100	0	240100	4760200	4299400	4924600	4324400	5035400	3356000	3804500	4312300	3362500	0	4822100	5455100	6301000	5092200	4858600	3178000	0	0	0	2760500	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	0	0	0	0	0	18	+
26	P35527;CON__P35527	KRT9	5	2	2	2	2	3	1	2	1	1	3	5	1	1	3	2	3	2	3	2	0	19273000	16771000	46655000	20354000	40973000	8002100	15383000	9924000	5161600	43006000	104350000	8418300	6254900	22500000	7342400	28654000	24136000	25983000	15723000	0	741280	645030	1794400	782860	1575900	307770	591640	381690	198520	1654100	4013600	323780	240570	865370	282400	1102100	928300	999330	604750	0	11254000	0	19156000	0	12629000	0	10043000	0	0	15171000	37686000	0	0	8335700	0	8987800	0	9002200	9437500	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	7	+
27	P35908;CON__P35908v2;CON__P35908;Q7Z794;CON__Q9R0H5;CON__Q6IFZ6;CON__Q7Z794	KRT2;KRT77	2	1	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	2	2	1	1	4446400	15789000	46154000	20572000	29293000	17426000	22443000	14300000	14256000	37978000	58507000	2291800	6361800	5876400	19238000	3903900	23221000	32003000	6907900	7527300	111160	394730	1153800	514300	732310	435640	561070	357510	356410	949460	1462700	57294	159040	146910	480940	97597	580520	800070	172700	188180	0	10324000	20919000	12473000	12065000	10793000	14375000	0	11262000	30495000	44997000	0	0	0	0	0	9230500	12177000	0	0	0	1	1	1	1	0	1	1	1	3	3	0	0	0	1	0	1	1	0	0	16	+
28	CON__Q28107		19	16	12	14	14	14	17	12	15	14	17	13	14	12	10	11	8	8	7	6	8	545900000	386560000	543500000	432070000	542190000	418050000	2.32e+08	367610000	293340000	454810000	239720000	211700000	226470000	243440000	228120000	117760000	80243000	105460000	85086000	78228000	6133700	4343400	6106800	4854700	6092000	4697100	2606700	4130500	3295900	5110200	2693500	2378700	2544600	2735300	2563100	1323100	901610	1184900	956020	878970	71322000	75654000	76527000	78664000	63253000	64126000	57246000	59194000	63954000	57537000	41228000	36199000	43956000	30140000	51087000	19979000	9896000	16218000	14369000	12080000	11	7	8	9	13	10	8	4	8	8	7	5	4	1	4	2	1	0	0	0	110	+
29	CON__Q3SX09		7	5	7	7	6	6	6	5	5	6	6	4	6	4	5	3	4	5	5	4	4	230340000	283410000	349280000	270300000	374900000	134640000	106290000	107290000	122870000	158710000	87955000	136280000	132850000	152340000	64283000	85423000	100640000	118170000	75394000	67047000	23034000	28341000	34928000	27030000	37490000	13464000	10629000	10729000	12287000	15871000	8795500	13628000	13285000	15234000	6428300	8542300	10064000	11817000	7539400	6704700	53283000	59224000	67850000	63182000	55988000	28200000	32548000	28114000	38870000	29687000	31304000	31884000	45699000	38587000	24644000	15629000	16219000	21818000	16251000	17700000	6	7	6	6	6	6	3	1	3	2	3	3	3	2	3	2	2	3	1	2	70	+
30	CON__Q3SX14		1	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4598200	0	3721200	4317700	2611100	0	0	0	4858300	0	4905800	0	0	4999200	0	0	0	0	0	0	135240	0	109450	126990	76796	0	0	0	142890	0	144290	0	0	147040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	+
